task,wh_name,logic_adjusted_new_step_duration_minutes
Verify Batch,BEYONDRX_OH,11.5
Verify Fill,OHIO,9.65
Verify Fill,BEYONDRX_OH,6.14
Verify Batch,BEYONDRX_OH,9.15
Verify Order,BEYONDRX_OH,7.89
Verify Order,BEYONDRX_OH,3.77
Verify Fill,OHIO,10.43
Verify Batch,BEYONDRX_AZ,5.34
Verify Fill,BEYONDRX_OH,6.2
Verify Fill,OHIO,11.5
Verify Order,BEYONDRX_OH,5.89
Verify Batch,BEYONDRX_OH,8.47
Verify Batch,OHIO,4.02
Verify Batch,OHIO,5.36
Verify Order,OHIO,16.52
Verify Order,BEYONDRX_OH,5.0
Verify Order,BEYONDRX_AZ,5.23
Verify Order,BEYONDRX_AZ,7.6
Verify Fill,BEYONDRX_AZ,10.31
Verify Batch,BEYONDRX_OH,5.48
Verify Fill,BEYONDRX_AZ,6.17
Verify Fill,BEYONDRX_AZ,13.1
Verify Fill,BEYONDRX_AZ,19.32
Verify Batch,BEYONDRX_AZ,3.88
Verify Order,BEYONDRX_OH,5.9
Verify Order,OHIO,14.94
Verify Batch,OHIO,8.8
Verify Order,BEYONDRX_OH,3.04
Verify Order,BEYONDRX_OH,7.48
Verify Batch,OHIO,5.62
Verify Order,BEYONDRX_AZ,6.56
Verify Batch,BEYONDRX_AZ,5.89
Verify Fill,BEYONDRX_OH,13.14
Verify Order,OHIO,5.79
Verify Fill,BEYONDRX_OH,9.54
Verify Batch,OHIO,8.19
Verify Batch,BEYONDRX_AZ,10.89
Verify Batch,BEYONDRX_OH,5.65
Verify Fill,OHIO,5.11
Verify Fill,BEYONDRX_AZ,7.32
Verify Fill,BEYONDRX_AZ,2.78
Verify Order,OHIO,5.04
Verify Fill,BEYONDRX_OH,6.23
Verify Batch,BEYONDRX_OH,7.71
Verify Order,BEYONDRX_OH,7.4
Verify Fill,BEYONDRX_AZ,11.21
Verify Batch,OHIO,7.03
Verify Fill,OHIO,6.87
Verify Batch,BEYONDRX_AZ,8.99
Verify Batch,BEYONDRX_AZ,12.42
Verify Batch,OHIO,15.1
Verify Batch,BEYONDRX_AZ,3.99
Verify Fill,BEYONDRX_OH,4.33
Verify Order,BEYONDRX_AZ,3.52
Verify Order,OHIO,5.95
Verify Batch,OHIO,7.64
Verify Batch,OHIO,12.6
Verify Order,BEYONDRX_AZ,5.66
Verify Order,OHIO,11.14
Verify Fill,BEYONDRX_OH,11.46
Verify Fill,BEYONDRX_OH,10.51
Verify Order,OHIO,5.29
Verify Order,OHIO,5.41
Verify Batch,BEYONDRX_OH,6.08
Verify Fill,BEYONDRX_OH,7.05
Verify Order,BEYONDRX_AZ,7.94
Verify Batch,OHIO,9.72
Verify Fill,BEYONDRX_AZ,11.62
Verify Batch,OHIO,13.86
Verify Fill,OHIO,6.66
Verify Order,BEYONDRX_OH,5.03
Verify Batch,BEYONDRX_OH,5.98
Verify Order,BEYONDRX_AZ,3.03
Verify Batch,OHIO,6.49
Verify Fill,BEYONDRX_OH,5.78
Verify Batch,OHIO,5.63
Verify Order,BEYONDRX_OH,13.81
Verify Batch,OHIO,6.45
Verify Fill,BEYONDRX_AZ,7.55
Verify Fill,BEYONDRX_OH,6.49
Verify Fill,BEYONDRX_AZ,8.7
Verify Fill,BEYONDRX_OH,7.58
Verify Order,BEYONDRX_OH,7.99
Verify Batch,BEYONDRX_OH,6.81
Verify Batch,BEYONDRX_OH,10.74
Verify Batch,BEYONDRX_OH,10.29
Verify Batch,BEYONDRX_OH,7.65
Verify Batch,BEYONDRX_AZ,7.68
Verify Order,BEYONDRX_AZ,15.53
Verify Batch,OHIO,11.68
Verify Order,OHIO,5.31
Verify Order,BEYONDRX_OH,4.16
Verify Batch,BEYONDRX_AZ,13.39
Verify Fill,BEYONDRX_AZ,5.29
Verify Order,BEYONDRX_AZ,9.78
Verify Batch,OHIO,6.91
Verify Order,BEYONDRX_OH,10.05
Verify Batch,OHIO,3.67
Verify Batch,OHIO,5.53
Verify Order,OHIO,6.72
Verify Order,OHIO,9.31
Verify Batch,BEYONDRX_AZ,1.56
Verify Batch,OHIO,12.67
Verify Batch,BEYONDRX_AZ,7.92
Verify Fill,BEYONDRX_AZ,2.95
Verify Batch,OHIO,5.65
Verify Fill,BEYONDRX_OH,10.48
Verify Order,BEYONDRX_OH,14.9
Verify Fill,BEYONDRX_AZ,4.65
Verify Order,BEYONDRX_AZ,2.77
Verify Batch,BEYONDRX_AZ,10.99
Verify Order,BEYONDRX_OH,13.41
Verify Batch,BEYONDRX_AZ,8.68
Verify Fill,BEYONDRX_OH,10.52
Verify Fill,OHIO,16.3
Verify Order,BEYONDRX_AZ,8.06
Verify Order,BEYONDRX_OH,7.97
Verify Fill,BEYONDRX_AZ,8.58
Verify Batch,OHIO,12.43
Verify Fill,BEYONDRX_AZ,12.6
Verify Fill,BEYONDRX_AZ,10.99
Verify Batch,OHIO,3.7
Verify Batch,OHIO,18.16
Verify Order,BEYONDRX_OH,8.62
Verify Order,OHIO,8.49
Verify Fill,BEYONDRX_AZ,11.01
Verify Fill,BEYONDRX_OH,7.45
Verify Batch,OHIO,12.4
Verify Fill,BEYONDRX_AZ,5.03
Verify Fill,BEYONDRX_OH,11.66
Verify Batch,OHIO,7.38
Verify Batch,OHIO,3.52
Verify Batch,OHIO,10.05
Verify Order,BEYONDRX_OH,4.89
Verify Fill,BEYONDRX_AZ,9.29
Verify Order,OHIO,5.04
Verify Order,BEYONDRX_OH,7.39
Verify Batch,OHIO,15.78
Verify Batch,BEYONDRX_OH,7.01
Verify Batch,OHIO,6.15
Verify Order,BEYONDRX_OH,6.82
Verify Batch,OHIO,14.61
Verify Order,BEYONDRX_OH,7.97
Verify Fill,BEYONDRX_OH,5.71
Verify Order,OHIO,11.44
Verify Order,BEYONDRX_AZ,12.07
Verify Fill,OHIO,9.51
Verify Batch,OHIO,2.53
Verify Order,BEYONDRX_OH,10.99
Verify Order,BEYONDRX_AZ,3.87
Verify Batch,OHIO,7.43
Verify Order,BEYONDRX_OH,16.04
Verify Order,OHIO,11.97
Verify Order,BEYONDRX_OH,9.19
Verify Batch,BEYONDRX_OH,6.44
Verify Order,BEYONDRX_AZ,7.86
Verify Fill,BEYONDRX_OH,3.54
Verify Batch,OHIO,11.71
Verify Order,OHIO,3.45
Verify Fill,BEYONDRX_OH,3.34
Verify Fill,OHIO,14.29
Verify Fill,OHIO,12.81
Verify Batch,OHIO,16.98
Verify Order,BEYONDRX_OH,4.85
Verify Order,BEYONDRX_OH,5.79
Verify Order,BEYONDRX_AZ,8.58
Verify Batch,OHIO,8.72
Verify Fill,BEYONDRX_OH,11.51
Verify Order,OHIO,6.88
Verify Order,BEYONDRX_OH,6.76
Verify Fill,BEYONDRX_OH,3.52
Verify Order,BEYONDRX_OH,9.84
Verify Fill,BEYONDRX_AZ,8.8
Verify Batch,OHIO,2.28
Verify Order,OHIO,6.5
Verify Fill,OHIO,2.61
Verify Order,OHIO,7.21
Verify Fill,OHIO,9.98
Verify Order,BEYONDRX_OH,10.0
Verify Fill,OHIO,8.45
Verify Fill,OHIO,12.9
Verify Fill,BEYONDRX_AZ,7.5
Verify Fill,BEYONDRX_AZ,6.05
Verify Order,BEYONDRX_AZ,5.34
Verify Fill,BEYONDRX_OH,4.21
Verify Batch,BEYONDRX_AZ,9.07
Verify Order,BEYONDRX_AZ,10.2
Verify Fill,BEYONDRX_OH,5.49
Verify Order,OHIO,12.06
Verify Fill,BEYONDRX_AZ,9.34
Verify Order,OHIO,22.55
Verify Order,BEYONDRX_AZ,6.38
Verify Order,BEYONDRX_OH,10.0
Verify Order,BEYONDRX_OH,4.98
Verify Order,OHIO,9.89
Verify Batch,BEYONDRX_AZ,9.68
Verify Batch,OHIO,11.18
Verify Batch,BEYONDRX_AZ,7.56
Verify Fill,OHIO,3.13
Verify Fill,OHIO,9.57
Verify Fill,BEYONDRX_OH,8.33
Verify Order,BEYONDRX_OH,10.5
Verify Batch,OHIO,7.56
Verify Batch,BEYONDRX_AZ,11.31
Verify Batch,BEYONDRX_OH,10.18
Verify Batch,OHIO,9.1
Verify Fill,BEYONDRX_AZ,10.68
Verify Batch,BEYONDRX_AZ,6.16
Verify Batch,BEYONDRX_OH,22.46
Verify Batch,BEYONDRX_AZ,14.01
Verify Batch,BEYONDRX_OH,9.85
Verify Fill,OHIO,6.93
Verify Batch,BEYONDRX_OH,13.07
Verify Fill,BEYONDRX_OH,9.42
Verify Batch,BEYONDRX_OH,6.89
Verify Order,OHIO,10.38
Verify Order,BEYONDRX_AZ,15.03
Verify Order,BEYONDRX_OH,7.52
Verify Batch,BEYONDRX_AZ,5.33
Verify Fill,BEYONDRX_AZ,6.32
Verify Order,BEYONDRX_AZ,5.56
Verify Order,OHIO,10.67
Verify Batch,BEYONDRX_AZ,4.76
Verify Fill,BEYONDRX_AZ,8.45
Verify Order,BEYONDRX_AZ,10.11
Verify Batch,OHIO,5.92
Verify Batch,BEYONDRX_AZ,7.23
Verify Order,OHIO,8.65
Verify Order,BEYONDRX_OH,6.4
Verify Order,BEYONDRX_OH,16.11
Verify Batch,BEYONDRX_OH,8.16
Verify Batch,BEYONDRX_OH,9.17
Verify Order,BEYONDRX_OH,3.82
Verify Batch,OHIO,8.08
Verify Fill,OHIO,15.64
Verify Batch,OHIO,2.11
Verify Fill,OHIO,4.35
Verify Order,BEYONDRX_OH,5.33
Verify Fill,BEYONDRX_OH,2.71
Verify Fill,OHIO,7.01
Verify Batch,OHIO,9.15
Verify Order,BEYONDRX_AZ,6.84
Verify Batch,BEYONDRX_AZ,3.32
Verify Batch,BEYONDRX_OH,5.84
Verify Batch,BEYONDRX_AZ,7.29
Verify Batch,BEYONDRX_OH,6.68
Verify Order,BEYONDRX_AZ,4.17
Verify Batch,BEYONDRX_OH,7.61
Verify Fill,BEYONDRX_AZ,5.4
Verify Fill,BEYONDRX_OH,5.19
Verify Fill,OHIO,10.31
Verify Fill,BEYONDRX_AZ,8.59
Verify Batch,BEYONDRX_OH,14.57
Verify Order,BEYONDRX_AZ,7.96
Verify Batch,OHIO,8.21
Verify Order,BEYONDRX_AZ,3.0
Verify Fill,BEYONDRX_OH,7.87
Verify Batch,BEYONDRX_OH,6.65
Verify Batch,OHIO,15.18
Verify Order,OHIO,7.42
Verify Fill,OHIO,5.92
Verify Fill,OHIO,6.2
Verify Batch,BEYONDRX_OH,4.4
Verify Fill,BEYONDRX_AZ,3.83
Verify Order,BEYONDRX_OH,4.62
Verify Fill,BEYONDRX_AZ,6.41
Verify Batch,BEYONDRX_OH,9.73
Verify Batch,OHIO,4.07
Verify Fill,BEYONDRX_OH,14.89
Verify Fill,OHIO,3.24
Verify Batch,BEYONDRX_OH,3.2
Verify Batch,OHIO,2.68
Verify Batch,BEYONDRX_AZ,8.45
Verify Order,BEYONDRX_OH,10.64
Verify Batch,BEYONDRX_AZ,10.69
Verify Batch,BEYONDRX_AZ,6.23
Verify Order,BEYONDRX_OH,10.49
Verify Batch,BEYONDRX_AZ,3.07
Verify Fill,BEYONDRX_OH,5.73
Verify Fill,OHIO,13.57
Verify Fill,BEYONDRX_OH,9.91
Verify Fill,BEYONDRX_OH,6.26
Verify Order,BEYONDRX_AZ,8.49
Verify Fill,BEYONDRX_OH,7.23
Verify Order,BEYONDRX_AZ,12.51
Verify Order,OHIO,11.63
Verify Order,BEYONDRX_AZ,3.38
Verify Fill,OHIO,7.36
Verify Batch,OHIO,11.29
Verify Batch,OHIO,8.46
Verify Batch,OHIO,6.34
Verify Order,BEYONDRX_AZ,9.98
Verify Batch,BEYONDRX_AZ,11.04
Verify Batch,OHIO,6.81
Verify Fill,OHIO,4.0
Verify Order,OHIO,8.55
Verify Fill,BEYONDRX_OH,7.97
Verify Order,OHIO,6.24
Verify Order,BEYONDRX_OH,7.62
Verify Fill,BEYONDRX_AZ,12.83
Verify Batch,BEYONDRX_OH,3.01
Verify Fill,OHIO,12.93
Verify Batch,BEYONDRX_OH,10.25
Verify Order,BEYONDRX_AZ,9.88
Verify Batch,BEYONDRX_AZ,14.91
Verify Order,OHIO,3.53
Verify Order,BEYONDRX_AZ,6.1
Verify Fill,BEYONDRX_AZ,3.21
Verify Fill,BEYONDRX_OH,7.98
Verify Fill,BEYONDRX_AZ,9.59
Verify Batch,BEYONDRX_OH,16.06
Verify Batch,BEYONDRX_AZ,3.64
Verify Fill,BEYONDRX_OH,7.38
Verify Batch,OHIO,13.29
Verify Order,BEYONDRX_OH,4.2
Verify Order,BEYONDRX_AZ,8.84
Verify Fill,BEYONDRX_AZ,7.96
Verify Batch,BEYONDRX_AZ,2.3
Verify Batch,BEYONDRX_AZ,3.58
Verify Order,BEYONDRX_AZ,6.0
Verify Batch,BEYONDRX_AZ,2.58
Verify Fill,OHIO,3.71
Verify Fill,OHIO,17.01
Verify Order,OHIO,9.79
Verify Order,BEYONDRX_AZ,9.0
Verify Order,BEYONDRX_OH,6.57
Verify Fill,BEYONDRX_AZ,10.07
Verify Fill,OHIO,6.18
Verify Fill,BEYONDRX_AZ,6.14
Verify Batch,BEYONDRX_AZ,7.91
Verify Fill,BEYONDRX_OH,7.99
Verify Fill,BEYONDRX_OH,9.54
Verify Batch,OHIO,7.75
Verify Fill,BEYONDRX_OH,9.66
Verify Fill,BEYONDRX_OH,5.5
Verify Batch,BEYONDRX_OH,8.84
Verify Order,BEYONDRX_AZ,2.13
Verify Order,BEYONDRX_OH,7.32
Verify Batch,BEYONDRX_OH,9.06
Verify Batch,BEYONDRX_AZ,4.42
Verify Fill,BEYONDRX_AZ,5.34
Verify Order,BEYONDRX_AZ,6.65
Verify Fill,BEYONDRX_OH,5.83
Verify Fill,BEYONDRX_AZ,6.6
Verify Order,OHIO,10.7
Verify Fill,OHIO,8.83
Verify Order,OHIO,2.29
Verify Order,OHIO,7.09
Verify Fill,BEYONDRX_OH,8.84
Verify Fill,BEYONDRX_OH,8.71
Verify Order,BEYONDRX_OH,15.97
Verify Batch,OHIO,6.87
Verify Batch,OHIO,11.45
Verify Fill,BEYONDRX_AZ,12.84
Verify Order,BEYONDRX_AZ,3.7
Verify Batch,OHIO,2.99
Verify Order,BEYONDRX_AZ,5.58
Verify Batch,BEYONDRX_OH,4.75
Verify Fill,BEYONDRX_AZ,11.74
Verify Batch,BEYONDRX_OH,2.37
Verify Batch,BEYONDRX_AZ,10.06
Verify Fill,BEYONDRX_OH,4.12
Verify Fill,OHIO,10.09
Verify Order,BEYONDRX_AZ,18.74
Verify Order,BEYONDRX_OH,8.84
Verify Batch,BEYONDRX_AZ,3.35
Verify Order,BEYONDRX_AZ,7.33
Verify Batch,BEYONDRX_OH,5.39
Verify Batch,BEYONDRX_OH,7.02
Verify Batch,BEYONDRX_OH,7.91
Verify Order,OHIO,5.58
Verify Fill,BEYONDRX_AZ,16.87
Verify Fill,OHIO,9.98
Verify Batch,OHIO,6.65
Verify Order,BEYONDRX_OH,6.45
Verify Fill,OHIO,2.62
Verify Order,OHIO,7.4
Verify Batch,OHIO,4.69
Verify Order,OHIO,10.48
Verify Order,BEYONDRX_AZ,5.25
Verify Fill,BEYONDRX_OH,5.53
Verify Order,OHIO,12.56
Verify Fill,BEYONDRX_AZ,5.37
Verify Order,OHIO,13.64
Verify Fill,BEYONDRX_OH,13.52
Verify Batch,BEYONDRX_AZ,4.94
Verify Order,BEYONDRX_AZ,7.93
Verify Batch,BEYONDRX_OH,6.58
Verify Batch,OHIO,8.78
Verify Fill,BEYONDRX_AZ,10.21
Verify Fill,BEYONDRX_OH,11.18
Verify Fill,BEYONDRX_AZ,9.23
Verify Order,BEYONDRX_OH,8.24
Verify Batch,BEYONDRX_OH,9.4
Verify Order,OHIO,10.72
Verify Fill,BEYONDRX_OH,5.85
Verify Batch,BEYONDRX_AZ,3.42
Verify Order,OHIO,3.61
Verify Batch,BEYONDRX_OH,7.79
Verify Fill,OHIO,12.12
Verify Batch,BEYONDRX_OH,4.74
Verify Batch,BEYONDRX_AZ,8.04
Verify Fill,BEYONDRX_AZ,9.9
Verify Batch,BEYONDRX_OH,7.71
Verify Fill,BEYONDRX_AZ,10.34
Verify Batch,BEYONDRX_AZ,18.03
Verify Fill,BEYONDRX_AZ,7.66
Verify Fill,BEYONDRX_AZ,7.29
Verify Batch,BEYONDRX_AZ,9.87
Verify Fill,BEYONDRX_OH,8.42
Verify Order,OHIO,7.81
Verify Fill,BEYONDRX_AZ,4.42
Verify Fill,BEYONDRX_AZ,7.89
Verify Fill,OHIO,5.61
Verify Batch,OHIO,6.15
Verify Fill,BEYONDRX_AZ,14.26
Verify Order,OHIO,10.17
Verify Fill,OHIO,9.69
Verify Order,BEYONDRX_AZ,9.32
Verify Fill,BEYONDRX_OH,7.72
Verify Order,BEYONDRX_AZ,11.61
Verify Order,OHIO,5.93
Verify Batch,BEYONDRX_OH,10.39
Verify Order,BEYONDRX_AZ,8.35
Verify Batch,BEYONDRX_AZ,7.65
Verify Fill,OHIO,5.69
Verify Fill,BEYONDRX_AZ,16.66
Verify Fill,OHIO,6.19
Verify Batch,OHIO,6.93
Verify Order,BEYONDRX_OH,8.9
Verify Order,BEYONDRX_AZ,4.86
Verify Fill,BEYONDRX_OH,1.87
Verify Order,BEYONDRX_OH,5.96
Verify Batch,BEYONDRX_AZ,12.69
Verify Fill,BEYONDRX_OH,5.21
Verify Order,BEYONDRX_AZ,8.16
Verify Order,BEYONDRX_AZ,6.08
Verify Order,OHIO,14.83
Verify Order,BEYONDRX_OH,20.52
Verify Order,BEYONDRX_OH,6.01
Verify Batch,OHIO,7.25
Verify Order,BEYONDRX_AZ,3.3
Verify Batch,BEYONDRX_AZ,16.34
Verify Order,BEYONDRX_OH,6.17
Verify Batch,BEYONDRX_AZ,3.89
Verify Order,BEYONDRX_OH,7.41
Verify Order,OHIO,13.53
Verify Batch,OHIO,7.32
Verify Batch,BEYONDRX_OH,3.27
Verify Batch,OHIO,6.63
Verify Order,OHIO,7.06
Verify Fill,BEYONDRX_AZ,3.28
Verify Order,BEYONDRX_OH,3.22
Verify Batch,BEYONDRX_AZ,8.27
Verify Order,BEYONDRX_OH,4.61
Verify Order,BEYONDRX_AZ,8.29
Verify Batch,OHIO,11.17
Verify Batch,BEYONDRX_AZ,6.71
Verify Batch,OHIO,11.54
Verify Batch,BEYONDRX_AZ,4.65
Verify Order,OHIO,5.1
Verify Fill,BEYONDRX_AZ,4.52
Verify Batch,OHIO,11.48
Verify Batch,OHIO,7.98
Verify Fill,BEYONDRX_AZ,5.0
Verify Fill,OHIO,13.89
Verify Fill,BEYONDRX_OH,8.17
Verify Fill,BEYONDRX_OH,3.4
Verify Batch,BEYONDRX_AZ,8.96
Verify Batch,BEYONDRX_OH,8.33
Verify Fill,BEYONDRX_AZ,6.5
Verify Batch,OHIO,11.98
Verify Order,OHIO,6.55
Verify Fill,OHIO,10.18
Verify Order,OHIO,3.12
Verify Batch,OHIO,8.82
Verify Order,BEYONDRX_OH,18.41
Verify Batch,BEYONDRX_OH,9.37
Verify Fill,BEYONDRX_OH,8.47
Verify Order,BEYONDRX_OH,12.96
Verify Batch,BEYONDRX_OH,6.2
Verify Order,BEYONDRX_AZ,12.01
Verify Fill,BEYONDRX_AZ,11.04
Verify Fill,BEYONDRX_AZ,15.09
Verify Fill,BEYONDRX_OH,11.67
Verify Fill,BEYONDRX_OH,4.87
Verify Fill,BEYONDRX_OH,6.57
Verify Order,BEYONDRX_OH,4.73
Verify Batch,BEYONDRX_OH,4.89
Verify Batch,BEYONDRX_AZ,7.51
Verify Fill,BEYONDRX_OH,10.72
Verify Order,BEYONDRX_OH,8.43
Verify Fill,OHIO,10.74
Verify Batch,BEYONDRX_AZ,14.61
Verify Order,OHIO,13.88
Verify Fill,BEYONDRX_AZ,8.07
Verify Fill,OHIO,4.77
Verify Batch,OHIO,8.95
Verify Fill,BEYONDRX_OH,9.81
Verify Fill,BEYONDRX_OH,8.47
Verify Fill,BEYONDRX_OH,7.38
Verify Fill,BEYONDRX_OH,8.31
Verify Fill,BEYONDRX_AZ,3.02
Verify Order,BEYONDRX_AZ,8.13
Verify Order,BEYONDRX_OH,6.53
Verify Batch,OHIO,13.24
Verify Order,BEYONDRX_AZ,9.09
Verify Order,OHIO,4.28
Verify Fill,BEYONDRX_AZ,9.28
Verify Fill,BEYONDRX_OH,7.67
Verify Order,OHIO,8.88
Verify Fill,BEYONDRX_OH,5.26
Verify Fill,BEYONDRX_OH,11.22
Verify Fill,BEYONDRX_OH,12.57
Verify Order,BEYONDRX_OH,7.55
Verify Fill,BEYONDRX_AZ,8.62
Verify Order,OHIO,6.47
Verify Fill,BEYONDRX_AZ,11.04
Verify Order,BEYONDRX_AZ,7.72
Verify Batch,OHIO,7.48
Verify Batch,BEYONDRX_OH,17.06
Verify Order,BEYONDRX_AZ,7.69
Verify Batch,BEYONDRX_AZ,6.55
Verify Order,OHIO,7.59
Verify Batch,OHIO,5.19
Verify Fill,BEYONDRX_OH,15.23
Verify Batch,OHIO,6.77
Verify Order,BEYONDRX_OH,4.9
Verify Batch,BEYONDRX_OH,4.75
Verify Order,BEYONDRX_OH,3.68
Verify Order,BEYONDRX_AZ,8.7
Verify Batch,BEYONDRX_AZ,12.5
Verify Order,BEYONDRX_OH,4.78
Verify Order,OHIO,4.56
Verify Fill,OHIO,10.06
Verify Order,BEYONDRX_OH,10.85
Verify Fill,OHIO,10.34
Verify Fill,OHIO,7.97
Verify Order,BEYONDRX_OH,9.94
Verify Batch,BEYONDRX_OH,7.13
Verify Order,BEYONDRX_AZ,2.78
Verify Order,OHIO,3.62
Verify Batch,BEYONDRX_OH,9.64
Verify Fill,BEYONDRX_AZ,7.31
Verify Order,OHIO,5.99
Verify Fill,OHIO,4.28
Verify Fill,BEYONDRX_OH,8.04
Verify Order,BEYONDRX_AZ,3.04
Verify Order,BEYONDRX_AZ,9.46
Verify Order,BEYONDRX_OH,7.06
Verify Order,OHIO,11.15
Verify Order,OHIO,4.6
Verify Batch,BEYONDRX_AZ,10.48
Verify Order,BEYONDRX_OH,3.89
Verify Batch,BEYONDRX_AZ,8.33
Verify Batch,BEYONDRX_AZ,10.25
Verify Batch,BEYONDRX_AZ,5.33
Verify Order,BEYONDRX_OH,10.81
Verify Fill,OHIO,11.91
Verify Batch,BEYONDRX_AZ,8.22
Verify Order,BEYONDRX_AZ,5.61
Verify Batch,OHIO,8.34
Verify Order,BEYONDRX_OH,11.13
Verify Fill,BEYONDRX_AZ,15.69
Verify Batch,BEYONDRX_AZ,7.81
Verify Order,BEYONDRX_OH,11.89
Verify Order,BEYONDRX_AZ,10.56
Verify Batch,BEYONDRX_OH,4.66
Verify Order,OHIO,13.07
Verify Batch,BEYONDRX_OH,13.08
Verify Order,BEYONDRX_OH,7.93
Verify Fill,BEYONDRX_OH,5.12
Verify Fill,BEYONDRX_AZ,5.58
Verify Order,OHIO,2.26
Verify Fill,BEYONDRX_AZ,9.17
Verify Batch,BEYONDRX_OH,2.65
Verify Fill,BEYONDRX_OH,7.54
Verify Batch,BEYONDRX_AZ,6.31
Verify Order,OHIO,9.94
Verify Fill,OHIO,9.3
Verify Batch,BEYONDRX_AZ,6.53
Verify Fill,BEYONDRX_AZ,2.48
Verify Order,OHIO,2.87
Verify Fill,BEYONDRX_AZ,8.54
Verify Order,OHIO,12.66
Verify Fill,OHIO,6.1
Verify Order,BEYONDRX_AZ,4.75
Verify Order,BEYONDRX_AZ,9.8
Verify Batch,OHIO,3.82
Verify Fill,OHIO,20.72
Verify Batch,BEYONDRX_AZ,4.9
Verify Order,OHIO,5.35
Verify Order,BEYONDRX_OH,7.28
Verify Fill,BEYONDRX_OH,7.29
Verify Order,OHIO,13.58
Verify Fill,BEYONDRX_AZ,11.91
Verify Order,BEYONDRX_AZ,9.13
Verify Fill,OHIO,12.66
Verify Batch,OHIO,7.51
Verify Fill,BEYONDRX_AZ,10.44
Verify Fill,BEYONDRX_AZ,12.33
Verify Batch,BEYONDRX_AZ,5.2
Verify Order,BEYONDRX_AZ,12.64
Verify Order,BEYONDRX_OH,13.21
Verify Fill,BEYONDRX_OH,10.85
Verify Batch,OHIO,4.18
Verify Order,OHIO,6.02
Verify Batch,BEYONDRX_OH,4.81
Verify Order,BEYONDRX_AZ,9.96
Verify Batch,OHIO,2.26
Verify Fill,BEYONDRX_OH,7.33
Verify Batch,BEYONDRX_OH,9.48
Verify Fill,OHIO,6.31
Verify Batch,BEYONDRX_OH,5.04
Verify Order,OHIO,7.99
Verify Order,OHIO,2.73
Verify Batch,BEYONDRX_OH,13.84
Verify Batch,BEYONDRX_OH,7.27
Verify Batch,BEYONDRX_OH,7.17
Verify Order,OHIO,3.52
Verify Batch,BEYONDRX_AZ,5.23
Verify Batch,OHIO,7.35
Verify Batch,BEYONDRX_AZ,2.47
Verify Fill,OHIO,12.31
Verify Order,BEYONDRX_AZ,6.92
Verify Order,BEYONDRX_AZ,6.47
Verify Fill,BEYONDRX_AZ,10.14
Verify Fill,OHIO,7.06
Verify Fill,BEYONDRX_AZ,4.69
Verify Batch,BEYONDRX_AZ,4.47
Verify Fill,BEYONDRX_AZ,4.73
Verify Order,OHIO,10.43
Verify Fill,BEYONDRX_OH,7.03
Verify Fill,OHIO,11.18
Verify Fill,BEYONDRX_AZ,6.88
Verify Order,BEYONDRX_OH,3.06
Verify Fill,BEYONDRX_OH,7.68
Verify Order,BEYONDRX_AZ,4.49
Verify Order,OHIO,7.95
Verify Fill,BEYONDRX_OH,8.92
Verify Order,OHIO,10.4
Verify Order,BEYONDRX_OH,5.01
Verify Fill,OHIO,8.82
Verify Order,BEYONDRX_AZ,6.39
Verify Fill,BEYONDRX_OH,10.49
Verify Order,BEYONDRX_OH,7.24
Verify Batch,BEYONDRX_OH,12.21
Verify Order,BEYONDRX_AZ,4.4
Verify Order,OHIO,6.13
Verify Order,BEYONDRX_AZ,9.68
Verify Fill,OHIO,14.47
Verify Batch,BEYONDRX_OH,4.64
Verify Order,BEYONDRX_AZ,10.15
Verify Order,BEYONDRX_OH,16.12
Verify Order,BEYONDRX_OH,4.95
Verify Fill,OHIO,14.56
Verify Batch,OHIO,5.68
Verify Order,OHIO,8.59
Verify Batch,BEYONDRX_OH,6.86
Verify Batch,OHIO,9.62
Verify Fill,BEYONDRX_OH,6.15
Verify Batch,BEYONDRX_OH,3.49
Verify Fill,BEYONDRX_AZ,6.36
Verify Batch,BEYONDRX_OH,12.85
Verify Fill,OHIO,4.74
Verify Fill,BEYONDRX_OH,6.91
Verify Batch,OHIO,7.49
Verify Batch,BEYONDRX_OH,13.61
Verify Batch,BEYONDRX_OH,11.53
Verify Order,OHIO,12.68
Verify Order,BEYONDRX_AZ,13.19
Verify Batch,OHIO,19.62
Verify Order,BEYONDRX_OH,4.06
Verify Order,BEYONDRX_AZ,10.23
Verify Order,BEYONDRX_OH,11.59
Verify Order,OHIO,7.94
Verify Fill,BEYONDRX_AZ,7.79
Verify Batch,BEYONDRX_AZ,5.31
Verify Batch,BEYONDRX_OH,6.37
Verify Order,BEYONDRX_AZ,4.99
Verify Batch,BEYONDRX_OH,10.63
Verify Order,OHIO,7.08
Verify Fill,OHIO,3.91
Verify Batch,BEYONDRX_AZ,6.04
Verify Order,BEYONDRX_AZ,10.82
Verify Batch,OHIO,10.54
Verify Fill,BEYONDRX_AZ,13.38
Verify Batch,BEYONDRX_AZ,6.56
Verify Batch,BEYONDRX_AZ,19.08
Verify Fill,BEYONDRX_OH,9.38
Verify Batch,OHIO,5.31
Verify Fill,OHIO,8.57
Verify Batch,OHIO,10.02
Verify Fill,OHIO,9.13
Verify Order,BEYONDRX_AZ,10.14
Verify Order,BEYONDRX_AZ,5.95
Verify Batch,BEYONDRX_AZ,11.49
Verify Batch,BEYONDRX_AZ,7.05
